"id","name","displayName","typeName","startPoint","endPoint"
"00001","강서06","강서06","마을","생태공원","화곡푸르지오아파트"
"00002","은평03","은평03","마을","갈현동12번지","연신내역"
"00003","은평05","은평05","마을","힐스테이트302동앞","힐스테이트302동앞"
"00004","마포16","마포16","마을","망원동","합정역"
"00005","서대문09","서대문09(동남슈퍼)","마을","동남슈퍼","홍제역"
"00006","서대문08","서대문08(적)","마을","유원하나아파트","홍제역"
"00007","마포12","마포12","마을","신촌전철역","마포정우상가"
"00008","종로09","종로09","마을","옥인아파트","남대문"
"00009","구로06","구로06","마을","개봉역","센츄리아파트"
"00010","서대문06","서대문06","마을","두산(아)","서부역"
"00011","영등포04","영등포04","마을","대림역","영등포역"
"00012","구로12","구로12","마을","개봉역","거성APT"
"00013","도봉05","도봉05","마을","한일병원","청한빌라"
"00014","구로03","구로03","마을","개봉한진아파트","개봉역"
"00015","구로04","구로04","마을","천왕역","개봉역"
"00016","영등포08","영등포08","마을","신도림역","영등포푸르지오아파트"
"00017","종로01","종로01","마을","신한은행.정독도서관","YMCA"
"00018","구로10","구로10","마을","대림역","구일역"
"00019","용산04","용산04","마을","경기여상","서부역"
"00020","도봉06","도봉06","마을","한일병원","방학동벽산(아)"
"00021","강북12","강북12","마을","삼각산아이원","미아삼거리역"
"00022","성북09","성북09","마을","신안아파트","미아삼거리역"
"00023","강북11","강북11","마을","미아삼거리역","수유역"
"00024","용산03","용산03","마을","하얏트호텔","하얏트호텔"
"00025","종로03","종로03","마을","낙산아파트","종로5가"
"00026","금천06","금천06","마을","금천노인종합복지관","구로디지털단지역"
"00027","동작10","동작10","마을","노량진교회","상도역"
"00028","관악06","관악06","마을","신림3동보명사","신대방역"
"00029","금천01","금천01(청(호압사입구))","마을","독산역","벽산아파트"
"00030","노원09","노원09","마을","근로복지아파트","삼창아파트"
"00031","동작14","동작14","마을","달마사","사랑의병원"
"00032","금천04","금천04","마을","금천구청역","기아자동차"
"00033","성동11","성동11","마을","무쇠막.서울숲푸르지오아파트","왕십리역"
"00034","노원04","노원04","마을","석계역","공릉현대아파트"
"00035","동대문03","동대문03(소형버스)","마을","가든아파트","회기역"
"00036","동작16","동작16","마을","삼성래미안아파트","사당역"
"00037","강남08","강남08","마을","신사역","삼성역"
"00038","서초17","서초17","마을","사당역","서초구청"
"00039","서초02","서초02","마을","교대역","서초역"
"00040","서초07","서초07","마을","황실아파트","방배래미안아파트"
"00041","서초11","서초11","마을","예술의전당","GS마트"
"00042","강남06","강남06","마을","세곡동은곡마을","한전앞"
"00043","강남03","강남03","마을","수서역","세곡사거리"
"00044","6007","6007","공항","송정역","인천공항"
"00045","6008","6008","공항","영등포역","인천공항"
"00046","6105","6105","공항","김포공항","인천공항"
"00047","6012","6012","공항","구파발역","인천공항"
"00048","6702","6702","공항","약수역","인천공항"
"00049","6016","6016","공항","남부터미널","인천공항"
"00050","6006","6006","공항","상일동","인천공항"
"00051","6300","6300","공항","고덕역","인천공항"
"00052","771","771","간선","대화동","디지털미디어시티역"
"00053","760","760","간선","신성여객","영등포역"
"00054","672","672","간선","방화동","이대후문"
"00055","720","720","간선","진관공영차고지","답십리"
"00056","652","652","간선","신월동","독산사거리"
"00057","270","270","간선","상암동차고지","양원역"
"00058","710","710","간선","상암차고지","도봉산공영차고지"
"00059","670","670","간선","온수동","상암동"
"00060","751","751","간선","구산동","숭실대"
"00061","752","752","간선","구산동","노량진역"
"00062","661","661","간선","부천상동","여의도"
"00063","606","606","간선","자동차매매단지","종로1가"
"00064","673","673","간선","상동기점","이대부고"
"00065","172","172","간선","하계동","상암동"
"00066","163","163","간선","월계동","목동"
"00067","600","600","간선","온수동","광화문"
"00068","N16","N16","간선","도봉산공영차고지","온수동차고지"
"00069","262","262","간선","중랑공영차고지","여의도"
"00070","503","503","간선","광명공영차고지","남대문"
"00071","143","143","간선","정릉","개포동"
"00072","502","502","간선","고천","한국은행.신세계"
"00073","421","421","간선","염곡동","옥수동"
"00074","505","505","간선","노온사동","서울역"
"00075","105","105","간선","상계주공7단지","서울역"
"00076","140","140","간선","도봉산공영차고지","내곡동"
"00077","102","102","간선","상계주공7단지","동대문"
"00078","301","301","간선","장지공영차고지","혜화동"
"00079","420","420","간선","개포동","전농동"
"00080","350","350","간선","송파공영차고지","여의도"
"00081","147","147","간선","월계동","도곡동"
"00082","320","320","간선","송파공영차고지","중랑구청"
"00083","7728","7728","지선","대화동","신촌"
"00084","6631","6631","지선","강서공영차고지","영등포역"
"00085","7726","7726","지선","덕은동","디지털미디어시티역"
"00086","8772","8772(맞춤버스)","지선","진관공영차고지","북한산성입구"
"00087","7013B","7013B","지선","은평공영차고지","남대문시장"
"00088","7016","7016","지선","은평공영차고지","상명대"
"00089","7025","7025","지선","은평공영차고지","동대문"
"00090","7611","7611","지선","은평차고지","여의도"
"00091","7714","7714","지선","은평차고지","녹번역"
"00092","7739","7739","지선","은평공영차고지","이대부고"
"00093","6716","6716","지선","양천공영차고지","서강대학교"
"00094","6637","6637","지선","노온사동","목동"
"00095","5012","5012","지선","가산동","용산역"
"00096","6613","6613","지선","양천공영차고지","대림역"
"00097","6616","6616","지선","철산동","온수동"
"00098","5618","5618","지선","대림역","석수역"
"00099","1166","1166","지선","우이동","국민대"
"00100","5633","5633","지선","노온사동","순복음교회"
"00101","1144","1144","지선","하계동","삼양동입구"
"00102","1218","1218","지선","우이동","답십리"
"00103","6611","6611","지선","신도림","우성아파트"
"00104","6651","6651","지선","대방천사거리","신도림역"
"00105","0017","0017","지선","청암동","산천동"
"00106","1128","1128","지선","도봉산","월곡동"
"00107","1138","1138","지선","상계4동","별내신도시"
"00108","1133","1133","지선","염광고교","염광고교"
"00109","2014","2014","지선","성수동","동대문역사문화공원"
"00110","5537","5537","지선","시흥동","가산디지털단지역"
"00111","5621","5621","지선","삼익아파트","구로디지털단지역"
"00112","1152","1152","지선","민락동","노원역"
"00113","5511","5511","지선","서울대","중앙대"
"00114","3011","3011","지선","장지공영차고지","한남동"
"00115","1132","1132","지선","월계동","노원역"
"00116","1131","1131","지선","중계본동","석계역"
"00117","1224","1224","지선","상계4동","청량리"
"00118","3216","3216","지선","오금동","청량리"
"00119","2230","2230","지선","면목동","경동시장"
"00120","1135","1135","지선","월계동","은행사거리"
"00121","3422","3422","지선","장지공영차고지","고속터미널"
"00122","3412","3412","지선","강동공영차고지","우면동"
"00123","4434","4434","지선","탄천차고지","개포동"
"00124","3418","3418","지선","송파공영차고지","무역센터"
"00125","3314","3314","지선","마천동","종합운동장"
"00126","3319","3319","지선","장지공영차고지","잠실역"
"00127","3321","3321","지선","강동공영차고지","강동구청"
"00128","9709","9709","광역","맥금동","서울역"
"00129","9408","9408","광역","오리역","영등포"
"00130","9401","9401","광역","구미동차고지","숭례문"
